"binomial_name","dispersal_syndrome","Reference"
"Anisoptera costata","Diaspore is blown by wind","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)."
"Cinnamomum iners","Animal","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)."
"Cinnamomum iners","Diaspore is eaten intentionally","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)."
"Pangium edule","Water","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)."
"Pangium edule","Floating in freshwater currents","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)."
"Nyssa javanica","Animal","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)."
"Nyssa javanica","Diaspore is eaten intentionally","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)."
"Ficus variegata","Animal","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)."
"Ficus variegata","Diaspore is eaten intentionally","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)."
"Ficus variegata","Mammals (bats).","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)."
"Ficus variegata","Fruit bats","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)."
"Sterculia lanceolata","Animal","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)."
"Sterculia lanceolata","Diaspore is eaten intentionally","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)."
"Sterculia lanceolata","Birds.","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)."
"Scaphium macropodum","Wind","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)."
"Scaphium macropodum","Diaspore is blown by wind","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)."
"Scaphium macropodum","Wind","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)."
"Scaphium macropodum","Diaspore is blown by wind","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)."
"Ficus variegata","animal","Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396."
"Ficus variegata","Animal","Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396."
"Ficus variegata","Diaspore is eaten intentionally","Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396."
"Parinari excelsa","mammal","Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396."
"Parinari excelsa","Animal","Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396."
"Parinari excelsa","Diaspore is eaten intentionally","Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396."
"Parinari excelsa","mammal","Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396."
"Parinari excelsa","Animal","Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396."
"Parinari excelsa","Diaspore is eaten intentionally","Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396."
"Mangifera indica","animal","Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396."
"Mangifera indica","Animal","Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396."
"Mangifera indica","Diaspore is carried intentionally","Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396."
"Magnolia acuminata","animal","unpub."
"Cinnamomum iners","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Anisoptera costata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Archidendron microcarpum","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Ficus variegata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Heritiera elata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Hopea sangal","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Koompassia excelsa","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Mangifera indica","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Nyssa javanica","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Pangium edule","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Parinari excelsa","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Pterospermum javanicum","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Pterygota alata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Putranjiva roxburghii","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Scaphium macropodum","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Shorea seminis","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Sterculia lanceolata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Terminalia ivorensis","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Xanthophyllum flavescens","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Anisoptera costata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Archidendron microcarpum","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Ficus variegata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Heritiera elata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Hopea sangal","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Koompassia excelsa","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Mangifera indica","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Nyssa javanica","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Pangium edule","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Parinari excelsa","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Pterospermum javanicum","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Pterygota alata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Putranjiva roxburghii","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Scaphium macropodum","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Shorea seminis","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Sterculia lanceolata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Terminalia ivorensis","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Xanthophyllum flavescens","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Anisoptera costata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Archidendron microcarpum","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Ficus variegata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Heritiera elata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Hopea sangal","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Koompassia excelsa","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Mangifera indica","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Pangium edule","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Parinari excelsa","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Pterospermum javanicum","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Pterygota alata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Putranjiva roxburghii","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Scaphium macropodum","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Shorea seminis","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Sterculia lanceolata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Terminalia ivorensis","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Xanthophyllum flavescens","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Archidendron microcarpum","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Ficus variegata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Koompassia excelsa","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Pangium edule","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Parinari excelsa","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Putranjiva roxburghii","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Xanthophyllum flavescens","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Anisoptera costata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Heritiera elata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Hopea sangal","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Mangifera indica","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Pterospermum javanicum","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Pterygota alata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Scaphium macropodum","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Shorea seminis","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Sterculia lanceolata","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Terminalia ivorensis","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Nyssa javanica","Disp","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Parinari excelsa","zoochor","Giroldo, Aelton (2016) Pequenas plantas, grandes estrategias: adaptacoes e sobrevivencia no Cerrado. PhD Thesis University of Brasilia. DOI: 10.13140/RG.2.2.34455.16800"
"Allophylus cobbe","autochor","Giroldo, Aelton (2016) Pequenas plantas, grandes estrategias: adaptacoes e sobrevivencia no Cerrado. PhD Thesis University of Brasilia. DOI: 10.13140/RG.2.2.34455.16800"
"Allophylus cobbe","zoochor","Giroldo, Aelton (2016) Pequenas plantas, grandes estrategias: adaptacoes e sobrevivencia no Cerrado. PhD Thesis University of Brasilia. DOI: 10.13140/RG.2.2.34455.16800"
"Melastoma malabathricum","*Seed weights reported may include minor covering structures","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Parinari excelsa","*Seed weights reported may include minor covering structures","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Decaspermum parviflorum","*Seed weights reported may include minor covering structures","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Melastoma malabathricum","*Seed weights reported may include minor covering structures","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Leea indica","*Seed weights reported may include minor covering structures","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Allophylus cobbe","*Seed weights reported may include minor covering structures","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Melastoma malabathricum","*Seed weights reported may include minor covering structures","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Antiaris toxicaria","*Seed weights reported may include minor covering structures","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Terminalia ivorensis","*Seed weights reported may include minor covering structures","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Buchanania arborescens","*Seed weights reported may include minor covering structures","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Lepisanthes senegalensis","*Seed weights reported may include minor covering structures","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Ficus variegata","*Seed weights reported may include minor covering structures","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Suregada multiflora","*Seed weights reported may include minor covering structures","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Cratoxylum cochinchinense","*Seed weights reported may include minor covering structures","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Mangifera indica","Mid-point of 1000 seed weight range 4000-5000g; seed mc not stated, but weight is likely to ref ...","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Mangifera indica","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Mangifera indica","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Mangifera indica","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Cananga odorata","Mid-point of 1000 seed weight range 47.6-57.1g; seed mc not stated, but weight is likely to ref ...","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Cananga odorata","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Phaeanthus ophthalmicus","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Maasia sumatrana","air dry","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Sageraea elliptica","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Santiria tomentosa","air dry","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Crateva magna","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Crateva magna","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Bhesa paniculata","Seed cleaned and dried at 80°C for 48 hrs prior to weighing.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Parinari excelsa","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Parinari excelsa","Dry weight.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Parinari excelsa","Fresh weight.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Terminalia citrina","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Terminalia ivorensis","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Terminalia ivorensis","Fresh weight.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Terminalia ivorensis","Weight refers to wet mass of mature seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Terminalia ivorensis","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Nyssa javanica","Seed mc not stated, but weight is likely to refer to air-dry seed.","Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
