"binomial_name","family","genus","species","restoration","count","relative_abundance_percent","mean_DBH","mean_Height"
"Peltophorum racemosum","Fabaceae","Peltophorum","racemosum","NR",1,0.0560852495793606,293,19.4
"Pentace adenophora","Malvaceae","Pentace","adenophora","AR",7,0.32183908045977,151,16.3428571428571
"Pentace adenophora","Malvaceae","Pentace","adenophora","NR",1,0.0560852495793606,116,8.4
"Pentace laxiflora","Malvaceae","Pentace","laxiflora","AR",14,0.64367816091954,333,30.3428571428571
"Pentace laxiflora","Malvaceae","Pentace","laxiflora","NR",25,1.40213123948402,244,16.756
"Pentace unknown mixed","Malvaceae","Pentace","unknown mixed","AR",1,0.0459770114942529,200,11.2
"Phaeanthus splendens","Annonaceae","Phaeanthus","splendens","AR",4,0.183908045977011,158.5,16.975
"Phaeanthus splendens","Annonaceae","Phaeanthus","splendens","NR",2,0.112170499158721,153.5,16.9
"Planchonia brevistipitata","Lecythidaceae","Planchonia","brevistipitata","AR",2,0.0919540229885057,142,9.8
"Planchonia brevistipitata","Lecythidaceae","Planchonia","brevistipitata","NR",1,0.0560852495793606,107,10.1
"Planchonia unknown mixed","Lecythidaceae","Planchonia","unknown mixed","AR",1,0.0459770114942529,295,28.9
"Urophyllum sandahanicum","Rubiaceae","Urophyllum","sandahanicum","AR",68,3.1264367816092,150.970149253731,11.3492537313433
"Urophyllum sandahanicum","Rubiaceae","Urophyllum","sandahanicum","NR",60,3.36511497476164,163.483333333333,9.15833333333333
"Polyalthia cauliflora","Annonaceae","Polyalthia","cauliflora","NR",1,0.0560852495793606,130,14.3
"Polyalthia obliqua","Annonaceae","Polyalthia","obliqua","NR",3,0.168255748738082,148.333333333333,14.6333333333333
"Pometia pinnata","Sapindaceae","Pometia","pinnata","AR",4,0.183908045977011,212.25,20.025
"Pometia pinnata","Sapindaceae","Pometia","pinnata","NR",5,0.280426247896803,214.6,16.82
"Prunus polystachya","Rosaceae","Prunus","polystachya","AR",3,0.137931034482759,148,21.3666666666667
"Prunus unknown mixed","Rosaceae","Prunus","unknown mixed","AR",1,0.0459770114942529,250,31.8
"Pseuduvaria reticulata","Annonaceae","Pseuduvaria","reticulata","AR",2,0.0919540229885057,156.5,12.4
"Pseuduvaria reticulata","Annonaceae","Pseuduvaria","reticulata","NR",1,0.0560852495793606,107,11.4
"Psydrax dicoccos","Rubiaceae","Psydrax","dicoccos","AR",1,0.0459770114942529,123,18
"Psydrax dicoccos","Rubiaceae","Psydrax","dicoccos","NR",1,0.0560852495793606,118,10.2
"Pternandra coerulescens","Melastomataceae","Pternandra","coerulescens","AR",12,0.551724137931034,129.833333333333,12.5833333333333
"Pternandra coerulescens","Melastomataceae","Pternandra","coerulescens","NR",13,0.729108244531688,127.692307692308,9.30769230769231
"Pterospermum javanicum","Malvaceae","Pterospermum","javanicum","AR",19,0.873563218390805,310.736842105263,19.9263157894737
"Pterospermum javanicum","Malvaceae","Pterospermum","javanicum","NR",99,5.5524397083567,236.111111111111,14.4252525252525
"Pterospermum unknown mixed","Malvaceae","Pterospermum","unknown mixed","NR",4,0.224340998317443,155.75,4.375
"Pterygota alata","Malvaceae","Pterygota","alata","NR",1,0.0560852495793606,475,26.8
"Ptychopyxis arborea","Euphorbiaceae","Ptychopyxis","arborea","AR",2,0.0919540229885057,142.5,14.45
"Ptychopyxis arborea","Euphorbiaceae","Ptychopyxis","arborea","NR",8,0.448681996634885,131.375,13.2
"Reinwardtiodendron humile","Meliaceae","Reinwardtiodendron","humile","AR",5,0.229885057471264,132,17.06
"Reinwardtiodendron humile","Meliaceae","Reinwardtiodendron","humile","NR",5,0.280426247896803,174.8,17.02
"Ridsdalea pseudoternifolia","Rubiaceae","Ridsdalea","pseudoternifolia","AR",4,0.183908045977011,199.5,23.55
"Ryparosa acuminata","Achariaceae","Ryparosa","acuminata","AR",3,0.137931034482759,175.333333333333,19.0666666666667
"Ryparosa acuminata","Achariaceae","Ryparosa","acuminata","NR",4,0.224340998317443,135.75,10.6
"Ryparosa hullettii","Achariaceae","Ryparosa","hullettii","AR",3,0.137931034482759,269.666666666667,21.3333333333333
"Sageraea elliptica","Annonaceae","Sageraea","elliptica","AR",1,0.0459770114942529,139,17.7
"Sageraea elliptica","Annonaceae","Sageraea","elliptica","NR",2,0.112170499158721,136,11.5
"Santiria laevigata","Burseraceae","Santiria","laevigata","AR",1,0.0459770114942529,171,19.3
"Santiria laevigata","Burseraceae","Santiria","laevigata","NR",6,0.336511497476164,111.333333333333,11.7833333333333
"Santiria tomentosa","Burseraceae","Santiria","tomentosa","AR",1,0.0459770114942529,174,19.7
"Scaphium longiflorum","Malvaceae","Scaphium","longiflorum","AR",2,0.0919540229885057,283,25.15
"Scaphium longiflorum","Malvaceae","Scaphium","longiflorum","NR",1,0.0560852495793606,454,35.7
"Scaphium macropodum","Malvaceae","Scaphium","macropodum","AR",5,0.229885057471264,165.2,18.12
"Scaphium macropodum","Malvaceae","Scaphium","macropodum","NR",5,0.280426247896803,329,22.34
"Scaphium unknown mixed","Malvaceae","Scaphium","unknown mixed","NR",1,0.0560852495793606,530,33.3
"Scorodocarpus borneensis","Olacaceae","Scorodocarpus","borneensis","AR",8,0.367816091954023,263.5,23.225
"Scorodocarpus borneensis","Olacaceae","Scorodocarpus","borneensis","NR",2,0.112170499158721,218.5,15.35
"Semecarpus bunburyanus","Anacardiaceae","Semecarpus","bunburyanus","NR",2,0.112170499158721,143,11.85
"Anthoshorea agamae","Dipterocarpaceae","Anthoshorea","agamae","AR",1,0.0459770114942529,135,11.4
"Anthoshorea agamae","Dipterocarpaceae","Anthoshorea","agamae","NR",2,0.112170499158721,111.5,12.85
"Rubroshorea argentifolia","Dipterocarpaceae","Rubroshorea","argentifolia","AR",2,0.0919540229885057,789,46.15
"Rubroshorea argentifolia","Dipterocarpaceae","Rubroshorea","argentifolia","NR",4,0.224340998317443,273.75,19.5
"Shorea atrinervosa","Dipterocarpaceae","Shorea","atrinervosa","AR",4,0.183908045977011,261.75,29.4
"Shorea atrinervosa","Dipterocarpaceae","Shorea","atrinervosa","NR",5,0.280426247896803,162.8,17.08
"Rubroshorea beccariana","Dipterocarpaceae","Rubroshorea","beccariana","AR",1,0.0459770114942529,136,17.5
"Rubroshorea beccariana","Dipterocarpaceae","Rubroshorea","beccariana","AR",17,0.781609195402299,312.235294117647,26.6117647058824
"Rubroshorea beccariana","Dipterocarpaceae","Rubroshorea","beccariana","NR",1,0.0560852495793606,953,43.5
"Richetia faguetiana","Dipterocarpaceae","Richetia","faguetiana","AR",17,0.781609195402299,254.176470588235,22.0588235294118
"Richetia faguetiana","Dipterocarpaceae","Richetia","faguetiana","NR",12,0.673022994952328,343.818181818182,25.8363636363636
"Rubroshorea fallax","Dipterocarpaceae","Rubroshorea","fallax","AR",46,2.11494252873563,249.717391304348,22.9413043478261
"Rubroshorea fallax","Dipterocarpaceae","Rubroshorea","fallax","NR",33,1.8508132361189,248.090909090909,19.130303030303
"Rubroshorea gibbosa","Dipterocarpaceae","Rubroshorea","gibbosa","AR",33,1.51724137931034,259.939393939394,24.969696969697
"Rubroshorea gibbosa","Dipterocarpaceae","Rubroshorea","gibbosa","NR",24,1.34604598990466,251.666666666667,17.4875
"Rubroshorea johorensis","Dipterocarpaceae","Rubroshorea","johorensis","AR",38,1.74712643678161,438.184210526316,31.9447368421053
"Rubroshorea johorensis","Dipterocarpaceae","Rubroshorea","johorensis","NR",35,1.96298373527762,581.371428571429,33.6514285714286
"Rubroshorea leprosula","Dipterocarpaceae","Rubroshorea","leprosula","AR",11,0.505747126436782,201.181818181818,23.7636363636364
"Rubroshorea leprosula","Dipterocarpaceae","Rubroshorea","leprosula","NR",9,0.504767246214246,237.555555555556,18.4333333333333
"Rubroshorea macrophylla","Dipterocarpaceae","Rubroshorea","macrophylla","AR",55,2.52873563218391,472.672727272727,31.4672727272727
"Rubroshorea macrophylla","Dipterocarpaceae","Rubroshorea","macrophylla","NR",1,0.0560852495793606,225,15.9
"Rubroshorea macroptera","Dipterocarpaceae","Rubroshorea","macroptera","AR",6,0.275862068965517,307.166666666667,28.6666666666667
"Rubroshorea macroptera","Dipterocarpaceae","Rubroshorea","macroptera","NR",1,0.0560852495793606,139,11.6
"Rubroshorea mecistopteryx","Dipterocarpaceae","Rubroshorea","mecistopteryx","AR",11,0.505747126436782,444,30.3363636363636
"Rubroshorea ovalis","Dipterocarpaceae","Rubroshorea","ovalis","AR",1,0.0459770114942529,216,19.8
"Rubroshorea ovalis","Dipterocarpaceae","Rubroshorea","ovalis","NR",2,0.112170499158721,640.5,29.25
"Rubroshorea ovata","Dipterocarpaceae","Rubroshorea","ovata","NR",3,0.168255748738082,289.333333333333,25.4666666666667
"Rubroshorea parvifolia","Dipterocarpaceae","Rubroshorea","parvifolia","AR",55,2.52873563218391,417.909090909091,32.8290909090909
"Rubroshorea parvifolia","Dipterocarpaceae","Rubroshorea","parvifolia","NR",45,2.52383623107123,352.222222222222,26.8377777777778
"Rubroshorea pauciflora","Dipterocarpaceae","Rubroshorea","pauciflora","AR",11,0.505747126436782,543.363636363636,36.0363636363636
"Rubroshorea pauciflora","Dipterocarpaceae","Rubroshorea","pauciflora","NR",10,0.560852495793606,768.9,37.95
"Shorea seminis","Dipterocarpaceae","Shorea","seminis","AR",5,0.229885057471264,182,19.58
"Shorea seminis","Dipterocarpaceae","Shorea","seminis","NR",7,0.392596747055524,336.142857142857,14.9714285714286
"Shorea sp","Dipterocarpaceae","Shorea","sp","AR",21,0.96551724137931,219.52380952381,19.352380952381
"Shorea superba","Dipterocarpaceae","Shorea","superba","AR",9,0.413793103448276,311.222222222222,30.4
"Shorea superba","Dipterocarpaceae","Shorea","superba","NR",8,0.448681996634885,434.125,29.5625
"Shorea unknown mixed","Dipterocarpaceae","Shorea","unknown mixed","AR",14,0.64367816091954,361.785714285714,28.9928571428571
"Shorea unknown mixed","Dipterocarpaceae","Shorea","unknown mixed","NR",9,0.504767246214246,208.777777777778,21.4555555555556
"Sindora irpicina","Fabaceae","Sindora","irpicina","AR",1,0.0459770114942529,210,17.6
"Sindora irpicina","Fabaceae","Sindora","irpicina","NR",5,0.280426247896803,123.6,10.64
"Spathiostemon javensis","Euphorbiaceae","Spathiostemon","javensis","AR",6,0.275862068965517,192.833333333333,17.1833333333333
"Spathiostemon javensis","Euphorbiaceae","Spathiostemon","javensis","NR",1,0.0560852495793606,114,4.8
"Stemonurus grandifolius","Stemonuraceae","Stemonurus","grandifolius","AR",1,0.0459770114942529,227,22.3
"Stemonurus grandifolius","Stemonuraceae","Stemonurus","grandifolius","NR",1,0.0560852495793606,155,20.8
"Stemonurus scorpioides","Stemonuraceae","Stemonurus","scorpioides","AR",1,0.0459770114942529,179,16.3
"Stemonurus scorpioides","Stemonuraceae","Stemonurus","scorpioides","NR",2,0.112170499158721,198,19.35
"Stemonurus unknown mixed","Stemonuraceae","Stemonurus","unknown mixed","AR",1,0.0459770114942529,353,25.9
"Sterculia cordata","Malvaceae","Sterculia","cordata","AR",1,0.0459770114942529,112,14
"Sympetalandra unijuga","Fabaceae","Sympetalandra","unijuga","AR",5,0.229885057471264,372.6,22.08
"Sympetalandra unijuga","Fabaceae","Sympetalandra","unijuga","NR",1,0.0560852495793606,139,10.2
"Symplocos fasciculata","Symplocaceae","Symplocos","fasciculata","AR",6,0.275862068965517,146.833333333333,12.8333333333333
"Symplocos fasciculata","Symplocaceae","Symplocos","fasciculata","NR",20,1.12170499158721,162.9,8.35
"Symplocos unknown mixed","Symplocaceae","Symplocos","unknown mixed","AR",1,0.0459770114942529,105,10.4
"Syzygium hirtum","Myrtaceae","Syzygium","hirtum","AR",1,0.0459770114942529,118,9.3
"Syzygium unknown mixed","Myrtaceae","Syzygium","unknown mixed","AR",46,2.11494252873563,263.111111111111,21.1977777777778
"Syzygium unknown mixed","Myrtaceae","Syzygium","unknown mixed","NR",43,2.41166573191251,189.139534883721,16.1976744186047
"unknown unknown","Magnoliaceae","unknown","unknown","AR",4,0.183908045977011,184,15.675
"unknown unknown","Magnoliaceae","unknown","unknown","NR",3,0.168255748738082,185.666666666667,19.7333333333333
"unknown unknown mixed","Magnoliaceae","unknown","unknown mixed","NR",1,0.0560852495793606,203,25.1
"Teijsmanniodendron pteropodum","Lamiaceae","Teijsmanniodendron","pteropodum","AR",3,0.137931034482759,232,15.2666666666667
"Teijsmanniodendron unknown mixed","Lamiaceae","Teijsmanniodendron","unknown mixed","AR",8,0.367816091954023,213.125,16.0375
"Teijsmanniodendron unknown mixed","Lamiaceae","Teijsmanniodendron","unknown mixed","NR",1,0.0560852495793606,141,12.8
"Triomma malaccensis","Burseraceae","Triomma","malaccensis","NR",1,0.0560852495793606,108,19.9
"Unknown species 8","Annonaceae","Unknown","species 8","NR",1,0.0560852495793606,111,13.2
"Unknown unknown mixed","Annonaceae","Unknown","unknown mixed","AR",14,0.64367816091954,183.214285714286,22.3642857142857
"Unknown unknown mixed","Annonaceae","Unknown","unknown mixed","AR",4,0.183908045977011,157.75,16.95
"Unknown unknown mixed","Annonaceae","Unknown","unknown mixed","AR",4,0.183908045977011,249.75,24.2
"Unknown unknown mixed","Annonaceae","Unknown","unknown mixed","AR",15,0.689655172413793,241.266666666667,20.24
"Unknown unknown mixed","Annonaceae","Unknown","unknown mixed","AR",7,0.32183908045977,447.285714285714,47
"Unknown unknown mixed","Annonaceae","Unknown","unknown mixed","AR",1,0.0459770114942529,434,34.6
"Unknown unknown mixed","Annonaceae","Unknown","unknown mixed","AR",21,0.96551724137931,173.428571428571,14.952380952381
"Unknown unknown mixed","Annonaceae","Unknown","unknown mixed","AR",2,0.0919540229885057,508.5,31.95
"Unknown unknown mixed","Annonaceae","Unknown","unknown mixed","AR",3,0.137931034482759,245.666666666667,24.0333333333333
"Unknown unknown mixed","Annonaceae","Unknown","unknown mixed","AR",1,0.0459770114942529,172,24.2
"Unknown unknown mixed","Annonaceae","Unknown","unknown mixed","NR",3,0.168255748738082,141.333333333333,12.7
"Unknown unknown mixed","Annonaceae","Unknown","unknown mixed","NR",5,0.280426247896803,176,14.72
"Unknown unknown mixed","Annonaceae","Unknown","unknown mixed","NR",4,0.224340998317443,289.5,15.625
"Unknown unknown mixed","Annonaceae","Unknown","unknown mixed","NR",17,0.953449242849131,140.823529411765,38.1823529411765
"Unknown unknown mixed","Annonaceae","Unknown","unknown mixed","NR",37,2.07515423443634,228.837837837838,17.8459459459459
"Unknown unknown mixed","Annonaceae","Unknown","unknown mixed","NR",16,0.89736399326977,269.75,22.075
"Unknown unknown mixed","Annonaceae","Unknown","unknown mixed","NR",2,0.112170499158721,224.5,18.95
"Urophyllum  glabrum","Rubiaceae","Urophyllum ","glabrum","NR",1,0.0560852495793606,190,15.4
"Urophyllum  unknown mixed","Rubiaceae","Urophyllum ","unknown mixed","AR",1,0.0459770114942529,121,12.5
"Vatica albiramis","Dipterocarpaceae","Vatica","albiramis","AR",1,0.0459770114942529,462,42.6
"Vatica dulitensis","Dipterocarpaceae","Vatica","dulitensis","AR",10,0.459770114942529,247.6,26.88
"Vatica dulitensis","Dipterocarpaceae","Vatica","dulitensis","NR",1,0.0560852495793606,105,12.3
"Vatica sarawakensis","Dipterocarpaceae","Vatica","sarawakensis","AR",2,0.0919540229885057,204,19.75
"Vitex pinnata","Lamiaceae","Vitex","pinnata","AR",3,0.137931034482759,187,17.6333333333333
"Vitex pinnata","Lamiaceae","Vitex","pinnata","NR",6,0.336511497476164,223.833333333333,15.5
"Walsura pinnata","Meliaceae","Walsura","pinnata","AR",2,0.0919540229885057,159.5,15.25
"Walsura pinnata","Meliaceae","Walsura","pinnata","NR",4,0.224340998317443,186.75,16.875
"Xanthophyllum flavescens","Polygalaceae","Xanthophyllum","flavescens","AR",5,0.229885057471264,194.8,14.68
"Xanthophyllum flavescens","Polygalaceae","Xanthophyllum","flavescens","NR",2,0.112170499158721,107,11.4
"Xanthophyllum unknown mixed","Polygalaceae","Xanthophyllum","unknown mixed","AR",9,0.413793103448276,152.555555555556,17.3666666666667
"Xanthophyllum unknown mixed","Polygalaceae","Xanthophyllum","unknown mixed","NR",15,0.841278743690409,188.266666666667,13.64
"Xylopia ferruginea","Annonaceae","Xylopia","ferruginea","AR",4,0.183908045977011,261.5,23.375
"Ziziphus augustifolia","Rhamnaceae","Ziziphus","augustifolia","AR",5,0.229885057471264,185.8,19.5
"Ziziphus augustifolia","Rhamnaceae","Ziziphus","augustifolia","NR",2,0.112170499158721,223.5,20.55
NA,NA,NA,NA,"AR",6,0.275862068965517,129.5,16.5
NA,NA,NA,NA,"AR",3,0.137931034482759,189.666666666667,19.5
NA,NA,NA,NA,"AR",2,0.0919540229885057,267,24.3
NA,NA,NA,NA,"AR",4,0.183908045977011,181,20.025
NA,NA,NA,NA,"AR",4,0.183908045977011,163,22.15
NA,NA,NA,NA,"NR",1,0.0560852495793606,130,12.9
NA,NA,NA,NA,"NR",1,0.0560852495793606,175,14.3
NA,NA,NA,NA,"NR",1,0.0560852495793606,118,10.2
NA,NA,NA,NA,"NR",4,0.224340998317443,157,14.375
NA,NA,NA,NA,"NR",8,0.448681996634885,142.875,14.025
NA,NA,NA,NA,"NR",3,0.168255748738082,171.666666666667,12.3333333333333
NA,NA,NA,NA,"NR",1,0.0560852495793606,124,10.9
