"binomial_name","Family","Genus","Species","restoration","count","mean_DBH","mean_Height","relative_abundance","relative_abundance_percent"
"Sterculia cordata","MALVACEAE","Sterculia","cordata","AR",1,112,14,0.0459770114942529,0.0459770114942529
"Sympetalandra unijug","FABACEAE","Sympetalandra","unijug","AR",5,372.6,22.08,0.229885057471264,0.229885057471264
"Symplocos fasciculata","SYMPLOCACEAE","Symplocos","fasciculata","AR",6,146.833333333333,12.8333333333333,0.275862068965517,0.275862068965517
"Symplocos unknown mixed","SYMPLOCACEAE","Symplocos","unknown mixed","AR",1,105,10.4,0.0459770114942529,0.0459770114942529
"Syzygium hirtum","MYRTACEAE","Syzygium","hirtum","AR",1,118,9.3,0.0459770114942529,0.0459770114942529
"Syzygium unknown mixed","MYRTACEAE","Syzygium","unknown mixed","AR",46,263.111111111111,21.1977777777778,2.11494252873563,2.11494252873563
"Taulama gitingensis","MAGNOLIACEAE","Taulama","gitingensis","AR",4,184,15.675,0.183908045977011,0.183908045977011
"Teijsmanniodendron pteropodum","LAMIACEAE","Teijsmanniodendron","pteropodum","AR",3,232,15.2666666666667,0.137931034482759,0.137931034482759
"Teijsmanniodendron unknown mixed","LAMIACEAE","Teijsmanniodendron","unknown mixed","AR",8,213.125,16.0375,0.367816091954023,0.367816091954023
"Unknown unknown mixed","ANNONACEAE","Unknown","unknown mixed","AR",14,183.214285714286,22.3642857142857,0.64367816091954,0.64367816091954
"Unknown unknown mixed","EUPHORBIACEAE","Unknown","unknown mixed","AR",4,157.75,16.95,0.183908045977011,0.183908045977011
"Unknown unknown mixed","FABACEAE","Unknown","unknown mixed","AR",4,249.75,24.2,0.183908045977011,0.183908045977011
"Unknown unknown mixed","LAURACEAE","Unknown","unknown mixed","AR",15,241.266666666667,20.24,0.689655172413793,0.689655172413793
"Unknown unknown mixed","LIANA","Unknown","unknown mixed","AR",7,447.285714285714,47,0.32183908045977,0.32183908045977
"Unknown unknown mixed","MALVACEAE","Unknown","unknown mixed","AR",1,434,34.6,0.0459770114942529,0.0459770114942529
"Unknown unknown mixed","MELIACEAE","Unknown","unknown mixed","AR",21,173.428571428571,14.952380952381,0.96551724137931,0.96551724137931
"Unknown unknown mixed","MYRISTICACEAE","Unknown","unknown mixed","AR",2,508.5,31.95,0.0919540229885057,0.0919540229885057
"Unknown unknown mixed","RUBIACEAE","Unknown","unknown mixed","AR",3,245.666666666667,24.0333333333333,0.137931034482759,0.137931034482759
"Unknown unknown mixed","SAPOTACEAE","Unknown","unknown mixed","AR",1,172,24.2,0.0459770114942529,0.0459770114942529
"Urophyllum  unknown mixed","RUBIACEAE","Urophyllum ","unknown mixed","AR",1,121,12.5,0.0459770114942529,0.0459770114942529
"Vatica albiramis","DIPTEROCARPACEAE","Vatica","albiramis","AR",1,462,42.6,0.0459770114942529,0.0459770114942529
"Vatica dulitensis","DIPTEROCARPACEAE","Vatica","dulitensis","AR",10,247.6,26.88,0.459770114942529,0.459770114942529
"Vatica sarawakensis","DIPTEROCARPACEAE","Vatica","sarawakensis","AR",2,204,19.75,0.0919540229885057,0.0919540229885057
"Vitex pinnata","LAMIACEAE","Vitex","pinnata","AR",3,187,17.6333333333333,0.137931034482759,0.137931034482759
"Walsura pinnata","MELIACEAE","Walsura","pinnata","AR",2,159.5,15.25,0.0919540229885057,0.0919540229885057
"Xanthophyllum affine","POLYGALACEAE","Xanthophyllum","affine","AR",5,194.8,14.68,0.229885057471264,0.229885057471264
"Xanthophyllum unknown mixed","POLYGALACEAE","Xanthophyllum","unknown mixed","AR",9,152.555555555556,17.3666666666667,0.413793103448276,0.413793103448276
"Xylopia ferruginea","ANNONACEAE","Xylopia","ferruginea","AR",4,261.5,23.375,0.183908045977011,0.183908045977011
"Ziziphus angustifolius","RHAMNACEAE","Ziziphus","angustifolius","AR",5,185.8,19.5,0.229885057471264,0.229885057471264
